iter	Passed	Remaining
924	1857	150
925	1858	148
926	1860	146
927	1861	144
928	1863	142
929	1864	140
930	1865	138
931	1867	136
932	1868	134
933	1870	132
934	1871	130
935	1872	128
936	1874	126
937	1875	123
938	1877	121
939	1878	119
940	1880	117
941	1881	115
942	1883	113
943	1884	111
944	1886	109
945	1887	107
946	1888	105
947	1889	103
948	1891	101
949	1892	99
950	1894	97
951	1895	95
952	1896	93
953	1898	91
954	1899	89
955	1900	87
956	1902	85
957	1903	83
958	1905	81
959	1906	79
960	1908	77
961	1909	75
962	1910	73
963	1912	71
964	1913	69
965	1915	67
966	1916	65
967	1918	63
968	1919	61
969	1920	59
970	1921	57
971	1923	55
972	1924	53
973	1926	51
974	1927	49
975	1929	47
976	1930	45
977	1932	43
978	1933	41
979	1934	39
980	1936	37
981	1937	35
982	1939	33
983	1940	31
984	1942	29
985	1943	27
986	1945	25
987	1946	23
988	1948	21
989	1949	19
990	1951	17
991	1952	15
992	1954	13
993	1955	11
994	1957	9
995	1958	7
996	1960	5
997	1961	3
998	1962	1
999	1964	0
985	2240	31
986	2241	29
987	2243	27
988	2244	24
989	2246	22
990	2247	20
991	2249	18
992	2250	15
993	2252	13
994	2254	11
995	2256	9
996	2257	6
997	2259	4
998	2261	2
999	2262	0
79	3940	80
980	3942	76
981	3945	72
982	3949	68
983	3955	64
984	3958	60
985	3965	56
986	3968	52
987	3971	48
988	3975	44
989	3977	40
990	3980	36
991	3983	32
992	3986	28
993	3990	24
994	3998	20
995	4004	16
996	4010	12
997	4015	8
998	4021	4
999	4024	0
